1,-84.228
2,-83.802
3,-83.362
4,-82.909
5,-82.441
6,-81.957
7,-81.458
8,-80.943
9,-80.41
10,-79.86
11,-79.292
12,-78.704
13,-78.096
14,-77.467
15,-76.817
16,-76.144
17,-75.447
18,-74.726
19,-73.979
20,-73.205
21,-72.404
22,-71.573
23,-70.712
24,-69.82
25,-68.894
26,-67.934
27,-66.938
28,-65.904
29,-64.831
30,-63.716
31,-62.559
32,-61.356
33,-60.107
34,-58.808
35,-57.457
36,-56.052
37,-54.59
38,-53.069
39,-51.486
40,-49.837
41,-48.119
42,-46.329
43,-44.462
44,-42.516
45,-40.485
46,-38.366
47,-36.153
48,-33.841
49,-31.425
50,-28.899
51,-26.257
52,-23.491
53,-20.595
54,-17.563
55,-14.385
56,-11.054
57,-7.5629
58,-3.9034
59,-0.068462
60,3.9485
61,8.1526
62,12.547
63,17.133
64,21.908
65,26.866
66,31.996
67,37.282
68,42.702
69,48.23
70,53.836
71,-300.52
72,-294.86
73,-289.23
74,-283.66
75,-278.19
76,-272.83
77,-267.61
78,-262.54
79,-257.64
80,-252.91
81,-248.35
82,-243.97
83,-239.75
84,-235.7
85,-231.81
86,-228.07
87,-224.48
88,-221.02
89,-217.7
90,-214.49
91,-211.41
92,-208.43
93,-205.56
94,-202.79
95,-200.12
96,-197.53
97,-195.03
98,-192.62
99,-190.28
100,-188.01
101,-185.81
102,-183.69
103,-181.62
104,-179.62
105,-177.68
106,-175.79
107,-173.96
108,-172.19
109,-170.46
110,-168.78
111,-167.15
112,-165.57
113,-164.03
114,-162.53
115,-161.07
116,-159.65
117,-158.27
118,-156.93
119,-155.62
120,-154.35
121,-153.11
122,-151.9
123,-150.72
124,-149.57
125,-148.46
126,-147.37
127,-146.31
128,-145.27
129,-144.26
130,-143.27
131,-142.31
132,-141.38
133,-140.46
134,-139.57
135,-138.7
136,-137.84
137,-137.01
138,-136.2
139,-135.41
140,-134.63
141,-133.88
142,-133.14
143,-132.42
144,-131.71
145,-131.02
146,-130.34
147,-129.69
148,-129.04
149,-128.41
150,-127.79
151,-127.19
152,-126.6
153,-126.02
154,-125.45
155,-124.9
156,-124.35
157,-123.82
158,-123.3
159,-122.79
